Año,CCAA,Turistas_Internacionales,Turistas_Nacionales,Gasto
2019,Andalucía,14652617.0,40609516.0,2502728985.97
2019,Aragón,853190.0,8464283.0,374497385.07
2019,Canarias,13860630.0,3594802.0,736400754.51
2019,Cantabria,419761.0,4738769.0,185213280.23
2019,Castilla - La Mancha,264722.0,17516749.0,614475075.47
2019,Castilla y León,2249531.0,21380837.0,894225474.4
2019,Cataluña,27910424.0,30664198.0,3684293401.45
2019,Ceuta,8285.0,200772.0,15527676.370000001
2019,Comunidad Valenciana,9892251.0,21100984.0,1762209434.11
2019,Extremadura,2611025.0,5624248.0,136389875.32
2019,Galicia,4492904.0,12734080.0,375292304.81
2019,Illes Balears,14167213.0,3218252.0,1332850732.04
2019,La Rioja,156289.0,2377093.0,133792100.11
2019,Madrid,7746109.0,20623208.0,3092305390.35
2019,Melilla,0.0,135566.0,3928958.66
2019,Navarra,2868746.0,3328329.0,404286425.24
2019,País Vasco,8423231.0,9935273.0,485163009.34000003
2019,Principado de Asturias,327557.0,3993210.0,93237006.23
2019,Región de Murcia,1077096.0,4139644.0,501364701.62
2020,Andalucía,3750808.0,49058944.0,2016140000.82
2020,Aragón,295865.0,10437352.0,295217230.87
2020,Canarias,3929436.0,4100983.0,513500506.55
2020,Cantabria,111397.0,5697323.0,181275595.34
2020,Castilla - La Mancha,99602.0,22900870.0,566456595.75
2020,Castilla y León,880306.0,25041186.0,762310434.27
2020,Cataluña,7999120.0,39334003.0,2853161980.24
2020,Ceuta,2877.0,229147.0,12220014.66
2020,Comunidad Valenciana,2602998.0,25199511.0,1472765973.48
2020,Extremadura,982973.0,6970965.0,114015911.25
2020,Galicia,1978984.0,15459474.0,333521079.72
2020,Illes Balears,1749483.0,3013044.0,916824730.8
2020,La Rioja,50576.0,2895499.0,101919486.97
2020,Madrid,1741609.0,23326134.0,2008782595.1
2020,Melilla,0.0,129870.0,2875438.63
2020,Navarra,1488568.0,4160684.0,331477640.5
2020,País Vasco,4219958.0,11945952.0,359401380.8
2020,Principado de Asturias,94639.0,4409506.0,85729624.0
2020,Región de Murcia,283174.0,5122086.0,418463155.47
2021,Andalucía,5659197.0,57951370.0,2815482922.05
2021,Aragón,345679.0,12379182.0,419969854.45
2021,Canarias,5370224.0,4638306.0,726294943.76
2021,Cantabria,162038.0,6673171.0,229310982.62
2021,Castilla - La Mancha,99075.0,25768597.0,717630607.88
2021,Castilla y León,751116.0,30148380.0,1036884238.57
2021,Cataluña,10989661.0,46783362.0,3777106920.46
2021,Ceuta,12862.0,246824.0,14947140.31
2021,Comunidad Valenciana,4060464.0,31698443.0,2048801117.69
2021,Extremadura,1377796.0,7991437.0,151470579.68
2021,Galicia,2746848.0,17907175.0,459762992.90999997
2021,Illes Balears,6386152.0,4264869.0,1433117240.15
2021,La Rioja,53306.0,3371891.0,141755422.71
2021,Madrid,2196269.0,29569514.0,2676287868.7
2021,Melilla,0.0,127919.0,3268801.75
2021,Navarra,1925757.0,4677724.0,431362044.14
2021,País Vasco,4033199.0,13237938.0,454790734.05
2021,Principado de Asturias,164819.0,5137601.0,110545185.34
2021,Región de Murcia,386494.0,5692140.0,553068923.05
2022,Andalucía,12381836.0,65632973.0,3567595666.65
2022,Aragón,621487.0,13869509.0,554133533.25
2022,Canarias,12960183.0,6069213.0,1043048783.96
2022,Cantabria,348626.0,7634143.0,256987290.28
2022,Castilla - La Mancha,202076.0,27682736.0,872629778.79
2022,Castilla y León,1451182.0,33700086.0,1264616874.98
2022,Cataluña,22130526.0,50157937.0,4726266983.5
2022,Ceuta,38465.0,306717.0,20036568.16
2022,Comunidad Valenciana,8842999.0,34177515.0,2573967493.33
2022,Extremadura,1199362.0,8993493.0,191088805.94
2022,Galicia,3762353.0,19541775.0,564817416.23
2022,Illes Balears,13435003.0,5417605.0,1886399501.92
2022,La Rioja,119854.0,3891480.0,182345607.85
2022,Madrid,6100335.0,35823082.0,3457474491.5
2022,Melilla,0.0,186821.0,4031029.46
2022,Navarra,2489574.0,5041069.0,519851475.72
2022,País Vasco,6453710.0,13180992.0,581824281.01
2022,Principado de Asturias,284054.0,6087238.0,145315079.69
2022,Región de Murcia,827632.0,6329100.0,682378202.3000001
2023,Andalucía,14968927.0,71419513.0,3761483819.84
2023,Aragón,719088.0,15038186.0,546331422.77
2023,Canarias,14577379.0,6810444.0,1127479595.74
2023,Cantabria,459672.0,8398489.0,277259830.96000004
2023,Castilla - La Mancha,217592.0,29449892.0,920664903.15
2023,Castilla y León,1660751.0,36604730.0,1315906457.49
2023,Cataluña,26093607.0,56075059.0,5018985219.63
2023,Ceuta,46566.0,326031.0,21288662.5
2023,Comunidad Valenciana,11368853.0,37872168.0,2729235009.36
2023,Extremadura,1328754.0,9760538.0,202582986.49
2023,Galicia,4365607.0,21477724.0,609139550.19
2023,Illes Balears,15149515.0,6011821.0,1965638151.8700001
2023,La Rioja,150354.0,4180127.0,193456801.94
2023,Madrid,8013230.0,39627060.0,3649880350.83
2023,Melilla,25519.0,229742.0,4275718.34
2023,Navarra,2872998.0,5502394.0,528240147.48
2023,País Vasco,9486191.0,14101993.0,619395190.83
2023,Principado de Asturias,381131.0,6872218.0,161393044.65
2023,Región de Murcia,1031177.0,6765752.0,714330211.17
2024,Andalucía,16343209.0,72061465.0,4071950564.4300003
2024,Aragón,712851.0,15913719.0,585997485.95
2024,Canarias,16036486.0,7246561.0,1308735968.85
2024,Cantabria,530871.0,8582125.0,308994058.11
2024,Castilla - La Mancha,236646.0,29761464.0,1001943419.97
2024,Castilla y León,2007017.0,37035119.0,1395072923.56
2024,Cataluña,28434563.0,56281663.0,5439457264.77
2024,Ceuta,64048.0,367856.0,23096660.05
2024,Comunidad Valenciana,12312558.0,37771483.0,2910655339.8
2024,Extremadura,1368929.0,9866701.0,239247360.27
2024,Galicia,4542561.0,21616290.0,682446207.07
2024,Illes Balears,15684136.0,5809212.0,2012714548.81
2024,La Rioja,160307.0,4217006.0,208150409.78
2024,Madrid,8886161.0,41144206.0,3799203977.43
2024,Melilla,29078.0,237701.0,6450267.42
2024,Navarra,3811245.0,5504122.0,524453323.42
2024,País Vasco,10429846.0,13981226.0,734294344.44
2024,Principado de Asturias,340715.0,7049120.0,204297230.53
2024,Región de Murcia,1179558.0,7142906.0,719138164.81
2025,Andalucía,6371178.0,13537024.0,1580239426.1399999
2025,Aragón,400926.0,3772113.0,285807212.40999997
2025,Canarias,7398987.0,1635774.0,599266264.22
2025,Cantabria,132736.0,1298223.0,102176414.19
2025,Castilla - La Mancha,93881.0,6058495.0,427169782.44
2025,Castilla y León,969553.0,7274600.0,482553784.09000003
2025,Cataluña,10524850.0,10288371.0,2256155846.02
2025,Ceuta,957.0,72361.0,8114851.43
2025,Comunidad Valenciana,4622145.0,6399506.0,1031463051.38
2025,Extremadura,512166.0,2068786.0,128061001.81
2025,Galicia,1519198.0,4190387.0,245125408.38
2025,Illes Balears,4299022.0,808660.0,434055298.52
2025,La Rioja,46652.0,857810.0,77897455.21
2025,Madrid,3824162.0,9221410.0,1609018149.6399999
2025,Melilla,589.0,44345.0,5890542.97
2025,Navarra,1567395.0,1053054.0,100501612.26
2025,País Vasco,4603828.0,2927097.0,293771998.19
2025,Principado de Asturias,93765.0,1218067.0,107626209.72
2025,Región de Murcia,468829.0,1350896.0,192117447.3
